task,pipeline,model,sampling_rate,outer_fold,inner_fold,channels,window,overlap,csp_filters,first_aug,second_aug,learning_rate,evaluation_type,accuracy_unbalanced,accuracy_weighted,precision_micro,precision_macro,precision_weighted,recall_micro,recall_macro,recall_weighted,f1score_micro,f1score_macro,f1score_weighted,rocauc_micro,rocauc_macro,rocauc_weighted,cohen_kappa
pds,ica,shn,125,5,6,32,16,2500,0,channel_dropout,masking,0.00025,subject,0.8235294117647058,0.8278388278388278,0.8235294117647058,0.8140350877192982,0.8330237358101135,0.8235294117647058,0.8278388278388278,0.8235294117647058,0.8235294117647058,0.8178571428571428,0.8254201680672267,,,,0.6370106761565837
pds,ica,shn,125,6,6,32,16,2500,0,channel_dropout,masking,0.00025,subject,0.8529411764705882,0.8614035087719298,0.8529411764705882,0.8576388888888888,0.8670343137254901,0.8529411764705882,0.8614035087719298,0.8529411764705882,0.8529411764705882,0.8528138528138528,0.8533231474407944,,,,0.7079037800687284
pds,ica,shn,125,7,6,32,16,2500,0,channel_dropout,masking,0.00025,subject,0.7647058823529411,0.7802197802197802,0.7647058823529411,0.7647058823529411,0.7923875432525951,0.7647058823529411,0.7802197802197802,0.7647058823529411,0.7647058823529411,0.7614035087719297,0.7680082559339525,,,,0.5294117647058824
pds,ica,shn,125,8,6,32,16,2500,0,channel_dropout,masking,0.00025,subject,0.8235294117647058,0.8140350877192982,0.8235294117647058,0.8278388278388278,0.8256841198017668,0.8235294117647058,0.8140350877192982,0.8235294117647058,0.8235294117647058,0.8178571428571428,0.8216386554621848,,,,0.6370106761565837
pds,ica,shn,125,9,6,32,16,2500,0,channel_dropout,masking,0.00025,subject,0.9117647058823529,0.9285714285714286,0.9117647058823529,0.90625,0.9283088235294118,0.9117647058823529,0.9285714285714286,0.9117647058823529,0.9117647058823529,0.9098143236074271,0.9129349352473085,,,,0.8210526315789474
pds,ica,shn,125,10,6,32,16,2500,0,channel_dropout,masking,0.00025,subject,0.6764705882352942,0.6754385964912281,0.6764705882352942,0.6736111111111112,0.6793300653594772,0.6764705882352942,0.6754385964912281,0.6764705882352942,0.6764705882352942,0.6739319965126417,0.6773167854761784,,,,0.34843205574912894
pds,ica,shn,125,1,7,32,16,2500,0,channel_dropout,masking,0.00025,subject,0.8235294117647058,0.8278388278388278,0.8235294117647058,0.8140350877192982,0.8330237358101135,0.8235294117647058,0.8278388278388278,0.8235294117647058,0.8235294117647058,0.8178571428571428,0.8254201680672267,,,,0.6370106761565837
pds,ica,shn,125,2,7,32,16,2500,0,channel_dropout,masking,0.00025,subject,0.8857142857142857,0.875,0.8857142857142857,0.8933566433566433,0.8891108891108891,0.8857142857142857,0.875,0.8857142857142857,0.8857142857142857,0.8809523809523809,0.8843537414965985,,,,0.7627118644067796
pds,ica,shn,125,3,7,32,16,2500,0,channel_dropout,masking,0.00025,subject,0.8823529411764706,0.9047619047619048,0.8823529411764706,0.8823529411764706,0.9100346020761245,0.8823529411764706,0.9047619047619048,0.8823529411764706,0.8823529411764706,0.880701754385965,0.8840041279669762,,,,0.7647058823529411
pds,ica,shn,125,4,7,32,16,2500,0,channel_dropout,masking,0.00025,subject,0.7941176470588235,0.7736842105263158,0.7941176470588235,0.825,0.8161764705882353,0.7941176470588235,0.7736842105263158,0.7941176470588235,0.7941176470588235,0.7786046511627907,0.785499316005472,,,,0.5672727272727273
pds,ica,shn,125,5,7,32,16,2500,0,channel_dropout,masking,0.00025,subject,0.8235294117647058,0.8131868131868132,0.8235294117647058,0.8131868131868132,0.8235294117647058,0.8235294117647058,0.8131868131868132,0.8235294117647058,0.8235294117647058,0.8131868131868132,0.8235294117647058,,,,0.6263736263736264
pds,ica,shn,125,6,7,32,16,2500,0,channel_dropout,masking,0.00025,subject,0.8529411764705882,0.8473684210526315,0.8529411764705882,0.8535714285714285,0.8531512605042015,0.8529411764705882,0.8473684210526315,0.8529411764705882,0.8529411764705882,0.8496905393457117,0.8522910490456129,,,,0.6996466431095407
pds,ica,shn,125,7,7,32,16,2500,0,channel_dropout,masking,0.00025,subject,0.7941176470588235,0.7893772893772895,0.7941176470588235,0.7821428571428571,0.798109243697479,0.7941176470588235,0.7893772893772895,0.7941176470588235,0.7941176470588235,0.7850045167118338,0.7954195228226792,,,,0.5703971119133573
pds,ica,shn,125,8,7,32,16,2500,0,channel_dropout,masking,0.00025,subject,0.7647058823529411,0.7543859649122806,0.7647058823529411,0.7655677655677655,0.7651368239603533,0.7647058823529411,0.7543859649122806,0.7647058823529411,0.7647058823529411,0.7571428571428571,0.7621848739495799,,,,0.5160142348754448
